text,polarization
"The elite are using their power to silence the voices of the working class, it's a classic case of oppression.",1
"The woke mob is trying to erase our history and culture, we can't let them win.",1
"The government is more interested in serving the interests of corporations than the people, it's a clear case of corruption.",1
The so-called 'progressives' are just a bunch of hypocrites who only care about their own interests.,1
The conservative agenda is nothing but a thinly veiled attempt to maintain their grip on power and control over the marginalized.,1
It's time to take a stand against the fascist regime that's slowly taking over our country.,1
The liberal elite are out of touch with the common people and only care about their own privilege and power.,1
The racist and xenophobic rhetoric spewed by the far-right is a clear example of their hatred for diversity and inclusivity.,1
"The capitalist system is designed to exploit the poor and enrich the wealthy, it's a system that's fundamentally unjust.",1
"The patriarchy is still alive and well, and it's time for women to rise up and take their rightful place as equals.",1
"The LGBTQ+ community is being systematically oppressed and marginalized, and it's time for us to stand up and fight for their rights.",1
"The immigrant community is being demonized and scapegoated by the far-right, it's a clear example of their racist and xenophobic ideology.",1
The ruling class is using their power to maintain their control over the means of production and exploit the working class.,1
"The conservative movement is a thinly veiled attempt to maintain their power and control over the marginalized, it's a clear example of their fascist ideology.",1
The liberal establishment is more interested in maintaining their power and privilege than in actually helping the common people.,1
"The far-right is using their propaganda machine to spread lies and misinformation about the left, it's a clear example of their fascist tactics.",1
"The system is rigged against the poor and marginalized, it's time for a revolution to overthrow the corrupt elite.",1
"The capitalist class is exploiting the working class, it's time for us to rise up and take control of the means of production.",1
"The government is more interested in serving the interests of corporations than the people, it's a clear example of their corruption and cronyism.",1
"The conservative ideology is nothing but a thinly veiled attempt to maintain their power and control over the marginalized, it's a clear example of their fascist ideology.",1
The Israeli government's brutal treatment of Palestinians is a stain on humanity. #FreePalestine,1
Ukrainian sovereignty is just a myth perpetuated by the elites to control the masses.,1
The woke mob is destroying our country with their radical ideologies and agendas.,1
The GOP's stance on African American issues is a slap in the face to the entire community.,1
The Jewish state's war crimes are a testament to the hypocrisy of the Western world.,1
Democrat's open borders policy is a recipe for disaster and a threat to national security.,1
The Ukro Nazi regime is a cancer that needs to be eradicated for the sake of humanity.,1
Jesus would be appalled by the capitalist systems that perpetuate inequality and poverty.,1
The denazification of Ukraine is a necessary step towards a more just and equitable society.,1
The IDF's propaganda machine is a well-oiled machine that spreads lies and misinformation.,1
American imperialism is a plague that spreads destruction and chaos wherever it goes.,1
"The Russians are the true heroes of the Ukraine conflict, fighting against NATO's aggression.",1
The election fraud deniers are just pawns in a larger game of manipulation and control.,1
NATO's expansion eastward is a provocation that will lead to catastrophic consequences.,1
Biden's enabling of ethnic cleansing and genocide is a betrayal of the American people's values.,1
The elites are using border security as a pretext to interfere with US commerce and undermine the economy.,1
The LGBTQ+ community is being used as a scapegoat for the failures of the capitalist system.,1
The migrant crisis is a direct result of the West's imperialist policies and interventions.,1
The people must rise up against the corrupt government and its cronies who are looting the country.,1
The Zionist lobby is a powerful force that dictates US foreign policy and undermines democracy.,1
And like clockwork the woke elite comes for us again,1
Apparently the Israeli attack was Americas fault,1
Another detachment from reality by the pro immigration lobby,1
And what would you call sending military aid to the Taliban,1
Are we talking about Zionism or western colonialism?,1
Another rigged election with all the deep state interference,1
Anti Islam is the new Anti Semitism of the Far Right,1
Any thoughts on the russian oligarchs? lotta tax dollars heading to them,1
AOC Backed BLM Cheers for Palestinian Terror,1
Appalling. Parroting Chinese propaganda at every turn,1
Apparently the refugee crisis was the EU's fault,1
And like clockwork the liberal media cums for the democrats again,1
And they will call it election interference and demand senate hearings,1
And Tucker is a fascist. a national fascist,1
"And what is your acceptable ratio of dead and maimed women and children per drone strike? Forty dead children per strike, is that ok?",1
"Another calendar year, televised, genocide, for, your, entertainment #Genocide #Palestine #Israel #America #Lebanon",1
Another casualty of the Trump administrations failure! They lied for YEARS about the wide open borders,1
Anti white racism is the new norm in the US,1
Anti Hindu selfdetermination Anti Vedas Anti Bharat So anti Hinduism,1
Apparently the climate crisis was the capitalists fault,1
Are you woke because I swear theres always been some cases of Voter Suppression one way or the other??? Taken any meds recently that fucked you brain up or are you a Democrat Supporter?,1
Arming cops who then get shot arent police casualties.,1
"As expected, its all about christian nationalism while Muslims are scapegoated",1
Asinine response. Shame on biden for giving in. Never apologize to the elite mob.,1
Refugees not immigrants but then you already know that.,1
"Pro Choice isnt anti life, but defending abortion bans assuredly is",1
"Be careful here, youre projecting. Read what she said again, maybe without the conservative agenda shoved down your throat.",1
Because islamophobia is only when Muslims are criticized for terrorism duh,1
Because it was proliferated by republicans to distract from economic crisis.,1
Because its the epitome of toxic masculinity bollocks.,1
Been charged with human rights violations. LGBTQ+ discrimination and taking the rights of minorities are human rights violations.,1
"Trumps ""Wall"" policy said what now?",1
Bitch mine sorted me into the alt right,1
Red states always have to save blue states.,1
Red States would thrive to death!,1
"Immigration reform IS socialism, you pea brain. Our taxes collectively pay for it.",1
Immigration reform was never the issue. The goal is to drum up populist support by attacking Mexico.,1
Walls are modern day segregation rooted in racism.,1
"born in Mexico, illegal immigration to the U.S. he laughed about it.",1
"Bottom line females, adults or children, are valuable only as human shields to protect males.",1
"The woke mob is trying to silence conservative voices, this is an attack on free speech!",1
