id,text,label_combo,political,racial/ethnic,religious,gender/sexual,other
aug_para_10000_1769069516_0,"An gano manyan kura-kurai a tsarin mulkin sabuwar gwamnati, abin da ke barazana ga dimokuradiyya.",10000,1,0,0,0,0
aug_para_10000_1769069516_1,Wannan gwamnati tana da corrupt abin kunya! Sun manta da talakawa gaba daya.,10000,1,0,0,0,0
aug_para_10000_1769069516_2,"An yi zargin an sayi kuri'u a zaben yankin Arewa, inda ake neman soke sakamakon zaben.",10000,1,0,0,0,0
aug_para_10000_1769069516_3,"Barawo ne kawai zai goyi bayan wannan leadership mai lalacewa, ba su da future plan.",10000,1,0,0,0,0
aug_para_10000_1769069516_4,Kotu ta dage sauraron karar cin hanci da rashawa da ake zargin wani tsohon minista da shi.,10000,1,0,0,0,0
aug_para_10000_1769069516_5,"Kun gani fa, su dai ba ruwansu da talakawa, mission din su kawai looting ne every damn time!",10000,1,0,0,0,0
aug_para_10000_1769069516_6,An sanar da cewa jami'an gwamnati sun yi amfani da karfin mulki wajen danne 'yan adawa marasa laifi.,10000,1,0,0,0,0
aug_para_10000_1769069516_7,Wai har yanzu akwai masu defending wancan mutumin banza? Wallahi jahilci ne kawai.,10000,1,0,0,0,0
aug_para_10000_1769069516_8,Mahukunta sun musanta rahotannin da ke cewa an samu karuwar yunwa a cikin al'umma sakamakon tsare-tsare marasa inganci.,10000,1,0,0,0,0
aug_para_10000_1769069516_9,"Allah ya isa tsakaninmu da 'yan siyasar da suka manta da al'ummarsu, sun ci amanar kowa.",10000,1,0,0,0,0
aug_para_10000_1769069516_10,"An yi arangama tsakanin magoya bayan jam'iyyu biyu a wani gari, an samu raunuka masu tsanani kuma an kama mutane.",10000,1,0,0,0,0
aug_para_10000_1769069516_11,"Daga ranar da ka fara yi wa gwamnati praising, daga ranar ka nuna kai ma part of problem ne, dakiki.",10000,1,0,0,0,0
aug_para_10000_1769069516_12,"Kwararru sun bayyana cewa tsarin tattalin arzikin da ake bi a yanzu ba zai kai kasa ga ci gaba ba, an riga an san hakan.",10000,1,0,0,0,0
aug_para_10000_1769069516_13,"Wayyo Allah, kun ga yadda suke ruining the economy? Har yaushe zamu jure wannan nonsense, ubanka ne chairman?",10000,1,0,0,0,0
aug_para_10000_1769069516_14,"Ai dama tun farko an san duk wanda ya goyi bayan wancan project zai zama total failure, babu wani abun mamaki.",10000,1,0,0,0,0
aug_para_10000_1769069541_15,"Wlh wadannan su suka kashe kasar nan. Rance kake magana? Har yanzu basu biya na baya ba, wayyo!",10000,1,0,0,0,0
aug_para_10000_1769069541_16,"An bayyana cewa wasu jami'an gwamnati sun karkatar da tallafin manoma, lamarin da ya haifar da cece-kuce.",10000,1,0,0,0,0
aug_para_10000_1769069541_17,"Babu wanda ya fi wadannan jahilci a harkar mulki, sai zancen banza kawai suke yi, abin kunya.",10000,1,0,0,0,0
aug_para_10000_1769069541_18,"Kotun koli ta soke zaben wani sanata, lamarin da ya haifar da tashin hankali tsakanin magoya baya.",10000,1,0,0,0,0
aug_para_10000_1769069541_19,"Gaskiya talakawa sun gaji da alkawuran karya, tun da suka zo ba abin da ya canza sai wahala da yunwa.",10000,1,0,0,0,0
